Exporters;Exported value in 2004;Exported value in 2005;Exported value in 2006;Exported value in 2007;Exported value in 2008;Exported value in 2009;Exported value in 2010;Exported value in 2011;Exported value in 2012;Exported value in 2013;Exported value in 2014;Exported value in 2015;Exported value in 2016;Exported value in 2017;Exported value in 2018;Exported value in 2019;Exported value in 2020;Exported value in 2021;Exported value in 2022;Exported value in 2023
Gambia;0;0;0;4;25;1432;1506;4093;1159;657;371;145;641;4;3;2;1;11;7;25
Pitcairn;40;39;;6;115;;45;26;18;27;3;;33;110;30;54;39;145;37121;24
Guinea-Bissau;10;3;;;;;;;;1;0;0;0;0;0;60;1;1;36;15
Tonga;;;;;2;0;0;1;2;14;47;;;10;3;21;26;27;2;14
French Polynesia;423;406;371;314;423;382;425;426;249;266;263;374;311;512;663;438;476;433;697;12
Guam;;;;;;;;;;;;11;;1;;;1;9;6;11
Bouvet Island;;;;;;;;;;;;;2;;;6;;;5;9
Cook Islands;;0;54;18;19;7;161;18;53;6;33;135;22;95;57;40;22;22;101;9
Central African Republic;;;29;23;0;12;54;49;16;7;34;74;34;240;30;57;59;2;17;8
Kiribati;;2;;7;8;0;0;19;1;0;7;15;44;72;4;;14;1;60;8
Vanuatu;;;3;4;;6;2;14;119;17;21;15;72;16;31;31;55;32;48;7
Comoros;0;0;;0;0;4;3;1;11;11;2;1;1;25;9;2;3;40;7;6
Northern Mariana Islands;14;32;273;31;65;16;48;14;29;37;7;5;11;8;58;63;3;3;70;4
Sao Tome and Principe;11;0;1;13;21;6;13;14;11;8;6;16;3;4;5;4;4;10;8;3
Montserrat;1;0;3;2;1;0;;;3;1;0;3;4;21;2;1;1;8;4;2
Western Sahara;11;;496;388;36;34;24;;60;;43;47;4;5;174;35;15;1;34;1
Cabo Verde;0;175;435;328;0;376;709;838;686;0;0;0;0;0;0;0;0;0;0;0
Mayotte;40;73;130;73;78;45;10;18;38;23;;;;;;;;;;
Sudan (before 2012);3117;1999;598;351;128;119;364;608;;;;;;;;;;;;
Netherlands Antilles;;594;501;422;643;4291;4899;;;;;;;;;;;;;
Neutral Zone;1;;;;;1;;;;;21;1;;5;;;;;33;
Serbia and Montenegro;236527;255680;79525;;;;;;;;;;;;;;;;;
