Importers;Imported value in 2004;Imported value in 2005;Imported value in 2006;Imported value in 2007;Imported value in 2008;Imported value in 2009;Imported value in 2010;Imported value in 2011;Imported value in 2012;Imported value in 2013;Imported value in 2014;Imported value in 2015;Imported value in 2016;Imported value in 2017;Imported value in 2018;Imported value in 2019;Imported value in 2020;Imported value in 2021;Imported value in 2022;Imported value in 2023
Saudi Arabia;971324;1229142;1342498;1627873;2132457;1741907;2162388;2819654;3143738;3354164;3477466;3599086;2962945;2902346;3108703;3307075;3281606;3849376;4767016;4609773
Denmark;2889828;3293413;3758640;4303138;4600055;3286276;3455599;4100687;3961826;4116129;4289596;3715220;3666724;3924092;4251712;3893515;3849440;5201882;5149163;4520180
Slovakia;1312690;1452023;1871694;2396020;2912735;2338104;2697514;3092069;3097539;3223030;3407339;3119580;3345769;3682162;3853209;3677150;3412102;4432456;4562099;4403804
Egypt;508420;740445;682975;1128262;2330889;1897093;2296111;2915005;3112063;3302914;3300851;3357562;3143758;3208606;3898660;3666443;3351485;5122736;5900453;4251115
Ireland;1963819;2116765;2322167;2646973;2597547;1994719;2196317;2494627;2340327;2552522;2787385;2516986;2472914;2822170;3110660;3049457;3057277;3938978;4418222;4146831
Philippines;1219800;1187349;1298877;1283758;1404563;1033954;1547665;2044662;1967796;1945388;2581004;2280829;3061628;3224516;3790736;3711120;3159467;4411647;4576232;4145327
Argentina;1164037;1496956;1627554;2051067;2226061;1750113;2427939;3033556;2837762;2786593;2580925;2615039;2219387;2384701;2383467;2115251;2108606;3038521;3354560;3124963
Morocco;650799;744832;905602;1216083;1351267;1137621;1257058;1620916;1667258;1821912;1944217;1733284;1664293;1877443;2111396;2210441;2055934;2602584;3003275;2993322
Iraq;;;;;;;;;;;242358;1963573;2011661;2530139;2527735;2217444;2230494;2418066;2940008;2944680
Israel;1357743;1490797;1781488;2112300;2242541;1570301;2025980;2352330;2323840;2427683;2564774;2274142;2364809;2614241;2854221;2707214;2642555;3752500;4093554;2853380
Greece;1606745;1656481;1908293;2455352;2680689;1886776;1881689;2004731;1677840;1918032;1995484;1709421;1810151;1880672;2131532;2069129;2037285;2875959;3069830;2808318
Ukraine;1070933;1497339;1988858;2693595;3518506;2141586;2867181;3413556;3413971;3553511;2922535;2092953;2201118;2460339;2701011;2638845;2475828;3596215;2467691;2798188
Norway;1500500;1711498;1958760;2370152;2543942;2024978;2224798;2551339;2526747;2676928;2711182;2282663;2283773;2436456;2587504;2461027;2511052;3151252;3130480;2768362
Bangladesh;330365;410955;541450;686072;831925;750945;1016098;1302536;1293265;1379726;;1795192;1923736;2160016;2457640;2467683;2266885;3605892;3493323;2651339
Colombia;721140;956701;1157870;1403311;1597200;1314595;1679697;2189633;2315088;2425850;2699223;2379918;2112993;2129011;2506143;2304872;2078699;3226017;3875596;2650131
South Africa;1216124;1411448;1609023;1919294;1880996;1545937;2095891;2440285;2457196;2518423;2558148;2400566;2257082;2483402;2841127;2493921;2032337;2925314;3224644;2641191
Finland;1729136;1910738;2082659;2459032;2629011;1896254;2329623;2667238;2463750;2515651;2589509;2169139;2145682;2414158;2602456;2432877;2382203;2983406;3176430;2639186
Algeria;557381;588541;645645;889636;1180790;1188706;1318898;1676710;1695956;2076841;2222189;2139965;2175305;2042204;2236475;2037049;1834459;2203990;2668672;2598165
Chile;1024309;1316313;1420438;1638975;1895043;1317832;1869226;2154519;2307046;2401282;2345327;2253422;2080836;2234613;2532347;2319935;2192765;3586436;3395619;2449778
Bulgaria;569076;711522;882016;1125261;1306520;914116;1061408;1269006;1245625;1414291;1504715;1330225;1348701;1523954;1703372;1668853;1644390;2353754;2469384;2265398
Pakistan;576176;998643;1128629;1280701;1360024;1184998;1458024;1679483;1501268;1569501;1952119;1933164;1938113;2299580;2497985;2215763;2170825;3017943;3016258;2251608
Peru;598343;770588;893847;1155460;1532146;1052823;2154802;1962767;3139570;3352245;2219775;1981597;1789257;1894653;2247523;2088250;1924010;3007708;3246911;2201047
Dominican Republic;384285;423784;913781;635023;781363;775271;711441;1053545;998958;1102401;1269071;1322468;1406958;1432015;1511694;1544241;1443850;2096557;2470035;2180803
Slovenia;866331;972207;1113665;1409844;1534722;1149318;1293197;1509574;1454861;1565715;1636295;1428807;1504822;1742264;1953338;1812811;1678431;2409970;2499734;2110326
Kazakhstan;317344;431981;617319;887294;925514;780737;783015;1245649;1397443;1594458;1485335;1093355;980701;1118798;1241480;1344585;1254834;1730574;2118173;2087260
Serbia;;;633175;864561;1020368;666758;740625;986210;1039850;1191141;1200910;1020950;1023486;1208903;1420366;1482433;1502535;2114415;2238214;2046787
Lithuania;556399;720611;824631;1022204;1081169;707109;862857;1055063;1169978;1339857;1474132;1233818;1274688;1508729;1629907;1560505;1644123;2384557;2360075;1965684
Iran, Islamic Republic of;1213896;1423643;212129;2085624;1912593;1914505;2312032;2682046;2170845;1915313;1909392;1603720;1578590;1792188;1283768;1343156;1146007;1349719;1754772;1849181
Costa Rica;457644;531117;626158;696677;819312;517407;820822;1130182;1009217;1072161;1198127;1185577;1197552;1239527;1336725;1394007;1220756;1571533;1665440;1733501
Nigeria;;;1536268;2335732;1335954;1963540;1878577;2113855;1518363;2377006;2099911;1533337;1548336;1340737;1384566;1530889;2399919;2547651;2323597;1694179
Tunisia;556596;628637;696275;885280;1027930;889513;1039140;1199306;1162622;1286929;1279301;1115744;1161327;1219343;1382971;1302705;1181487;1431280;1685956;1634547
Croatia;608713;694431;811227;1001651;1122355;814599;809808;965415;886804;955417;999248;945121;981210;1048404;1213094;1191457;1150680;1595064;1723803;1624506
New Zealand;878483;989499;1001632;1148839;1220605;946266;1161319;1309381;1410372;1477908;1606707;1441738;1384456;1543439;1616454;1533167;1450436;2039530;2023167;1556901
Guatemala;421584;591252;492310;750541;794300;623185;775650;932087;898108;977072;1063365;1128116;1009646;1051473;1138820;1087014;1080762;1686535;1880031;1501702
Uzbekistan;;;;;;;;;;;;;;449753;573903;811724;705103;926693;1238100;1404482
Luxembourg;708804;717682;777453;904065;1085688;843312;1006471;1179400;1074570;1198668;1196487;1066815;1067751;1191538;1363707;1314290;1244725;1650368;1723193;1342946
Ecuador;427075;505078;560801;615710;839197;646765;865211;1063632;1047298;1138147;1199155;1015496;863227;988814;1140666;1001647;852589;1398601;1606119;1190100
Cambodia;36322;46455;57462;55554;83607;86939;104498;113224;142784;175790;259466;317804;424321;457407;566506;755749;836837;1164458;1216903;1071541
Oman;223531;252262;286368;406688;860694;447809;512432;622645;639231;720667;770344;846200;707063;756942;843439;854648;787023;924975;1019615;990786
Latvia;291448;348987;447567;546440;570418;373226;479513;597024;587859;653556;680530;550645;549740;669181;735541;715838;741666;1014175;1024636;881937
Estonia;332846;394111;526883;635709;665391;464084;582461;702933;702439;754118;767334;629491;655162;740035;811775;778599;795603;1051361;1040744;879231
Kuwait;333008;;445389;481820;558676;422210;447267;595471;621911;661111;708160;775514;698192;801801;857415;1042147;752087;838566;925808;847088
