Importers;Imported value in 2004;Imported value in 2005;Imported value in 2006;Imported value in 2007;Imported value in 2008;Imported value in 2009;Imported value in 2010;Imported value in 2011;Imported value in 2012;Imported value in 2013;Imported value in 2014;Imported value in 2015;Imported value in 2016;Imported value in 2017;Imported value in 2018;Imported value in 2019;Imported value in 2020;Imported value in 2021;Imported value in 2022;Imported value in 2023
Grenada;8733;11738;10178;10772;11628;;9971;9382;9037;10402;8711;10859;12349;13925;17348;16543;12761;14308;19736;18801
Central African Republic;;;70;2600;3122;2214;4645;2313;2968;1599;5410;11187;10260;7213;5820;9561;12943;12608;15533;17539
Saint Vincent and the Grenadines;6900;7749;9896;9767;9763;8557;8804;8825;9306;10593;8518;11411;10455;9540;10125;10229;9087;11111;13513;16312
Vanuatu;;;4174;5520;;6255;6653;6667;5062;5344;5611;8014;8410;8488;6886;7025;9204;10376;12648;15051
United States Minor Outlying Islands;7250;7424;6701;6952;8036;6038;7200;7516;8045;6296;7947;7898;8043;8305;9153;9747;8057;7979;10627;14326
Timor-Leste;1287;2362;;;;;;;;4144;;;;7058;6661;7506;8519;8211;13273;14258
Turks and Caicos Islands;5567;;;;;;;5051;5213;2386;3636;4435;4071;4964;6273;6542;5323;6876;13223;13073
Samoa;13928;14153;15956;11914;17404;7367;14834;9844;12820;15960;16280;19107;16762;11387;11380;11247;7695;8605;10274;11775
Eritrea;5249;9517;4719;5701;5662;7291;8327;7942;10087;12576;10000;7503;10275;10550;12848;12549;13635;8995;12263;11461
Gibraltar;28386;8326;9585;8884;9950;7060;7473;7691;6127;7587;9803;11580;8855;9699;12218;14400;8917;9606;10233;10469
British Virgin Islands;5932;7005;21614;26898;24899;9132;9394;27450;39165;17518;8791;10601;8601;8278;12253;9504;7062;9571;11881;10001
Dominica;5590;7066;7112;7567;8047;7623;7909;6970;5609;5556;;;7204;7390;12806;12179;8657;8135;7991;9539
Saint Kitts and Nevis;7943;10292;11004;11825;12678;11749;10168;8933;7641;8583;10684;9327;13713;10587;6804;7107;6628;8203;10617;8232
Tonga;;;;;2502;1874;2693;3325;4117;3249;3807;;;3722;3639;5767;4315;6242;6705;7859
Bonaire, Sint Eustatius and Saba;;;;;;;;;6;2570;2644;3010;2956;3348;4910;5392;5558;5275;5703;7380
Marshall Islands;907;4094;964;1059;1911;1273;1772;14215;2778;2352;3043;4989;5701;9038;6606;6883;10271;5070;7210;5733
Micronesia, Federated States of;3062;2476;2928;2782;4048;5729;4282;4738;5085;4953;1956;2845;2532;2901;3540;3436;3977;6750;5868;5678
Falkland Islands (Malvinas);837;789;668;977;655;663;1302;3517;4256;3509;6079;6633;3680;4137;5211;5213;5098;4542;6600;5099
Comoros;700;851;;1062;2805;2185;2711;2251;2200;2591;3250;3155;2681;2765;3636;2990;2495;4236;4203;4680
Sint Maarten (Dutch part);;;;;;;;3399;4782;8604;7753;2754;2611;2796;5210;3711;2933;3241;3530;3783
Northern Mariana Islands;5222;5066;4019;2370;1115;750;700;749;752;1421;1838;1820;2288;2367;1328;1916;2405;1578;1630;3665
Norfolk Island;506;652;590;623;974;945;1424;743;778;750;572;300;1935;1469;586;408;843;778;938;3538
Anguilla;1448;971;3052;18461;3336;4095;1104;1175;1362;1635;1766;1353;1039;1042;3395;1541;1540;3199;3221;3440
Guam;5;24;200;30;32;14;16;103;48;50;27;42;106;107;166;2606;515;624;368;3360
Palau;;;;;;;;;2607;;2761;3665;6830;4689;4387;3301;3282;3012;3579;3301
Kiribati;;1139;;1176;935;826;1003;1021;1300;1474;2562;2073;2003;2402;1910;;1451;3319;4063;3247
Cook Islands;;2661;2004;2881;2535;2623;2175;3169;2634;3814;4365;3121;2578;3253;3426;4243;2195;3187;2994;2977
Sao Tome and Principe;355;482;1475;1365;1990;1759;2058;2761;2742;2845;3221;2995;3524;2812;3398;2968;3845;4009;4277;2888
American Samoa;;;;;;;;;139;37;;43;116;307;50;75;211;58;120;2476
Saint Helena;1094;787;1351;27566;1278;986;699;1007;1083;1487;1857;3274;2671;2199;1746;1542;1849;2611;1974;1928
Nauru;139;61;163;147;85;143;140;582;724;2931;2321;1414;1883;1211;2020;987;1982;3633;3267;1713
Saint Pierre and Miquelon;1885;1543;2829;2734;1845;2208;1915;2168;2190;2510;2316;2261;2067;2153;1596;1380;1968;1896;1895;1520
Tuvalu;268;165;478;866;604;486;416;941;5146;726;339;552;434;252;410;562;856;718;1712;1241
British Indian Ocean Territory;2512;232;166;252;195;74;76;149;249;134;77;219;160;420;298;303;247;531;689;1005
Montserrat;546;725;667;593;865;686;;;1139;661;656;605;814;707;969;753;1230;899;1315;977
Wallis and Futuna Islands;648;572;817;1043;936;704;937;1082;826;1103;887;781;432;487;810;725;846;908;841;948
Christmas Island;541;472;623;981;263;504;1171;1210;819;560;754;434;660;605;247;364;306;472;552;881
Niue;309;278;201;338;597;10317;5735;2090;325;340;463;294;535;557;533;669;724;761;873;746
French Southern and Antarctic Territories;623;593;776;645;7761;1708;768;604;1029;603;290;487;410;436;336;611;781;960;538;537
Cocos (Keeling) Islands;150;204;286;620;115;602;142;261;92;73;149;122;122;169;104;81;117;260;768;528
Western Sahara;155;8;6;18;2;4;16;453;6;;13;15;21;13;;1;28;12;196;229
West Asia not elsewhere specified;;;;;;;;;;;;;;;;;;;33;134
Tokelau;1461;2247;1685;1182;2032;4830;9011;605;914;383;110;90;165;796;277;231;315;158;156;92
Pitcairn;151;111;80;371;292;414;375;395;58;104;8;27;7;108;85;195;77;153;921;68
Bouvet Island;;;;;;;;;;;;;;;;;;;;1
British Antarctic Territory;;;;;;;;;;;;;2;;;;;;;
Mayotte;6863;7561;8283;10695;13471;11022;8032;8809;9487;11347;;;;;;;;;;
Netherlands Antilles;;25485;26344;32924;36947;34459;21478;;;;;;;;;;;;;
Sudan (before 2012);132944;169211;167757;170584;272254;262778;416584;478473;;;;;;;;;;;;
Serbia and Montenegro;489550;432187;109204;;;;;;;;;;;;;;;;;
